"Source:","C:\Users\evgen\Desktop\SmartWatch\Hardware\SmartWatch\SmartWatch.sch"
"Date:","1/24/2022 10:11:59 AM"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","78"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","STANDARD"
"9","2","C21, C22","C","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"10","5","C23, C25, C28, C29, C30","10uF","Device:CP","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"11","5","C24, C26, C27, C31, C32","0.1uF","Device:C","Capacitor_SMD:C_01005_0402Metric","~","","","","","","","","","",""
"12","1","D1","ESD9B5.0ST5G","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","","","","","","","",""
"13","1","IC1","6PAIC3109TWRHMRQ1","SamacSys_Parts:6PAIC3109TWRHMRQ1","QFN50P500X500X90-33N-D","http://www.ti.com/lit/gpn/tlv320aic3109-q1","Automotive Low-Power 96kHz Mono Audio Codec","0.9","","","Texas Instruments","6PAIC3109TWRHMRQ1","595-6PAIC3109TWRHMRQ","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/6PAIC3109TWRHMRQ1?qs=YCa%2FAAYMW01e2%252ByS6efv8w%3D%3D","",""
"14","1","IC2","SPG08P4HM4H-1","SamacSys_Parts:SPG08P4HM4H-1","SPG08P4HM4H1","https://www.knowles.com/docs/default-source/default-document-library/spg08p4hm4h-1-baracus-datasheet-rev-b.pdf","MEMS Microphones Multimode Digital Top Port Sisonic Microphone","1.2","","","Knowles","SPG08P4HM4H-1","721-SPG08P4HM4H-1","https://www.mouser.co.uk/ProductDetail/Knowles/SPG08P4HM4H-1/?qs=T3oQrply3y%252Bb8ucRl7oMfg%3D%3D","",""
"15","1","IC3","MC3630","SamacSys_Parts:MC3630","MC3630","https://mcubemems.com/wp-content/uploads/2019/11/MC3630-Datasheet-APS-048-0047v1.5.pdf","Accelerometers Digital output 3 Axis Acceleronmeter","1","","","MEMSIC","MC3630","498-MC3630","https://www.mouser.co.uk/ProductDetail/MEMSIC/MC3630?qs=d5t9DBkVG1jdxQf02rIiZA%3D%3D","",""
"16","1","J1","Charging Port","Connector:Conn_01x02_Female","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~","","","","","","","","","",""
"17","1","J2","DA_PROG_CONN","Connector:Conn_01x07_Female","Connector_PinHeader_1.00mm:PinHeader_1x07_P1.00mm_Vertical_SMD_Pin1Left","~","","","","","","","","","",""
"18","1","J3","ARD_PROG_CONN","Connector:Conn_01x04_Female","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left","~","","","","","","","","","",""
